year,month,start,end of period,sales,value (E),unsoldes (Kg)
1994,1,01-01-94,31-01-94,436 792,732 324,41 754
1994,2,01-02-94,28-02-94,473 758,807 406,28 020
1994,3,01-03-94,31-03-94,546 170,988 522,42 205
1994,4,01-04-94,30-04-94,459 615,940 744,20 357
1994,5,01-05-94,31-05-94,411 415,809 627,23 613
1994,6,01-06-94,30-06-94,306 560,524 344,26 572
1994,7,01-07-94,31-07-94,301 890,464 528,62 787
1994,8,01-08-94,31-08-94,260 830,501 353,29 149
1994,9,01-09-94,30-09-94,361 161,703 725,39 942
1994,10,01-10-94,31-10-94,450 326,920 616,6 724
1994,11,01-11-94,30-11-94,516 199,1060 661,20 990
1994,12,01-12-94,31-12-94,354 209,920 286,24 590
1995,1,01-01-95,31-01-95,355 734,806 875,14 504
1995,2,01-02-95,28-02-95,382 904,816 306,28 339
1995,3,01-03-95,31-03-95,383 923,841 884,7 226
1995,4,01-04-95,30-04-95,450 366,974 031,12 098
1995,5,01-05-95,31-05-95,371 283,696 207,18 887
1995,6,01-06-95,30-06-95,256 929,446 678,37 218
1995,7,01-07-95,31-07-95,269 599,482 001,46 367
1995,8,01-08-95,31-08-95,302 852,585 078,61 899
1995,9,01-09-95,30-09-95,271 167,578 407,13 369
1995,10,01-10-95,31-10-95,412 739,888 449,14 480
1995,11,01-11-95,30-11-95,399 203,823 471,25 788
1995,12,01-12-95,31-12-95,282 041,638 928,25 859
1996,1,01-01-96,31-01-96,460 103,858 975,0
1996,2,01-02-96,29-02-96,427 877,781 369,0
1996,3,01-03-96,31-03-96,521 463,909 744,0
1996,4,01-04-96,30-04-96,519 614,1025 115,23 434
1996,5,01-05-96,31-05-96,407 720,644 535,6 183
1996,6,01-06-96,30-06-96,189 784,360 679,5 531
1996,7,01-07-96,31-07-96,263 509,467 409,34 662
1996,8,01-08-96,31-08-96,286 206,471 507,28 941
1996,9,01-09-96,30-09-96,221 710,448 849,2 593
1996,10,01-10-96,31-10-96,328 854,775 213,1 810
1996,11,01-11-96,30-11-96,300 185,711 172,14 471
1996,12,01-12-96,31-12-96,275 264,734 304,29 999
1997,1,01-01-97,31-01-97,446 379,847 706,31 991
1997,2,01-02-97,28-02-97,250 852,461 392,7 806
1997,3,01-03-97,31-03-97,439 089,818 484,29 232
1997,4,01-04-97,30-04-97,302 958,643 967,6 625
1997,5,01-05-97,31-05-97,309 495,616 379,15 543
1997,6,01-06-97,30-06-97,145 684,303 678,14 413
1997,7,01-07-97,31-07-97,232 290,388 744,16 605
1997,8,01-08-97,31-08-97,256 961,452 371,27 582
1997,9,01-09-97,30-09-97,236 714,523 139,10 323
1997,10,01-10-97,31-10-97,925 278,2255 018,3 131
